Officer Down,He's directing traffic in an unusual way.,,5,17,0,0,0,1,16,3
Crooked Tax Man,He assures you that your hard-earned dollars will not go to waste.,,3,2,2,0,0,1,43,4
Harsh Competitaur,All he ever wants to do is compete with you.,,4,62,0,0,0,0,,
Obvious Toupee,You try really hard not to stare.,,2,14,3,0,0,1,,
Grown Adult Bully,You run into jerks now and then. Sometimes you get a chance to shut their mouth.,,3,88,2,0,0,1,42,4
Foot Face,His face was meant for walking. He'll walk all over you if you let him.,,2,56,3,0,0,1,6,1
Kettle Child,"He makes the best tea, if he likes you.",,0,47,4,0,0,1,29,2
Man-Boy,"You might find his immaturity amusing, or he might just be holding you back.",,2,96,4,0,0,0,,
Yellow-Belly Alabaster,Some people wear their cowardice on their shirt.,,1,74,4,0,0,1,37,4
Juice Lee,Defeat him and drink his juice for much Vigour. Lose and suffer at his juicy hands.,,3,9,2,0,0,1,35,1
Train Wreck,You're starting to feel like self-preservation should be more of a priority.,,4,48,4,0,0,1,34,3
Dreamboat,He can't wait to sail away to paradise... with the right person.,,2,24,3,0,0,1,55,3
General Downer,"He makes you feel awful, and he always has the last word.",,2,12,3,0,0,1,16,2
Up Chuck,"He's moving on up and taking you with him, because he likes the cut of your jib.",,1,13,3,0,0,1,16,1
Man Behind Glass,"He seems to be in there against his will. Will you ignore him, or help him out by shattering the glass?",,2,29,3,0,0,1,59,3
Upface,"You can count on this guy to be always looking up, no matter what.",,1,26,4,0,0,1,,
Sneaky Raccoon,Raccoons get up to all kinds of mischief at night.,,4,65,1,0,0,1,,
Bwognee,"It's an adorable rabbit, here to give you a warm fuzzy feeling.",,1,8,4,0,0,1,34,2
White Rabbit,"This particular rabbit, while fuzzy, is extraordinarily deadly.",,2,42,3,0,0,1,33,2
Vulnerable Nest,You start to notice how your actions affect the balance of nature.,,0,8,0,0,0,1,18,0
Dumb Duck,"This dumb duck is so annoying! (""How annoying is he?"")",,3,83,3,0,0,1,51,0
Helmet Cat,Helmet Cat challenges you to a race for big $$$.,,3,4,2,0,0,1,46,3
Snake Plane,You might get a bite on this frightening flight.,,2,41,3,0,0,1,,
Flying Shark,Evolution takes a scary turn.,,3,52,2,0,0,1,,
Nude Rabbit,"Nude Rabbit loves you very much, and takes good care of you.",,1,6,4,0,0,1,,
Unwise Owl,"Most owls are wise, but this one isn't one of them.",,1,75,4,0,0,1,18,2
Clear Bear,This bear helps you achieve a certain... clarity.,,1,51,4,0,0,0,,
Sleepwalking Dog,"There's no telling if it will howl at you, bite you, lick your wounds or just sniff you and walk on by.",,3,60,2,0,0,1,8,0
Pirrate,He learned a lot from his former swashbuckling master. Now he's a professional pirate of his own.,,1,31,4,0,0,1,37,2
Snail Face,"His conversation is so slow. It sounds like a warning, but you can't bear to stand around long enough to hear it.",,3,53,2,0,0,1,,
Turkey Snail,This strange creature is a rare hybrid of your two favourite foods.,,2,40,3,0,0,1,28,1
Hulk Maniac Grizzly,Think you got what it takes to take down a professional grizzly wrestler? Or are you gonna run away like a coward?,,4,26,1,0,0,1,61,1
Sickly Seagull,"Don't worry about the smell. They say when a seagull vomits on you, it's good luck!",,1,19,4,0,0,1,,
Heavy Hen,"In the pecking order, she is queen.",,1,36,4,0,0,0,,
Screaming Chimp,Every interaction today feels like you’re arguing with an angry ape. ,,2,71,3,0,0,1,59,2
Charlie Horse,He forces you into his horse racing gambling ring.,,3,47,2,0,0,1,34,0
Gambling Seal,He has a way of roping you into a game of roulette.,,3,41,0,0,0,1,26,3
Massive Whale Shark,It chews you up and spits you out. ,,1,35,4,0,0,1,31,0
Afro Ducky,Afro Ducky knows where all the cool hangouts are.,,2,25,3,0,0,0,,
Serpent Flamingo,Serpent Flamingo seduces you into a nice massage. ,,2,72,3,0,0,1,47,4
Fat Dog,Fat Dog is super big and fluffy and he warms your heart when you pat him.,,1,57,4,0,0,0,,
Wall Flies,They are here to test your patience.,,3,16,2,0,0,1,13,0
Inviting Ghost,Inviting Ghost invites you to be haunted.,,1,57,2,0,0,0,,
Frosty Bitch,"This ghostly mutt sinks his icicle fangs into you, and chills your soul.",,0,90,0,0,0,1,8,1
+ Dog,+ Dog approaches you in a friendly manner and guides you through the dark.,,1,76,4,0,0,1,60,3
Hard No,Hard No passes through you. You find it difficult to move forward.,,2,47,1,0,0,1,60,2
Big Up,Big Up floats you upward.,,1,54,4,0,0,1,60,1
Spirit Fossil,"This ancient fossil releases a ghost, who possesses your body temporarily.",,2,55,2,0,0,1,,
Lightning Hand,"From its cold dead finger comes a flash of light, and you are instantly teleported.",,3,70,2,0,0,1,,
Wuvy Duvy,This spirit haunts your heart with an intense feeling of love and tenderness.,,2,11,3,0,0,0,,
Hallucinatory Dynamo of a Neckless Freak,"While you try to figure out what it is, it possesses your body. Next thing you know you are somewhere else.",,4,25,1,0,0,1,10,3
Mysterious Amulet,This artifact leaves you feeling strangely compelled to wander.,,2,43,2,0,0,1,25,2
Uncomfortably Generous Soul,It really seems to want to treat you well. You are spoiled almost to death before you finally escape.,,5,36,0,0,0,1,60,4
Toothless Crocodile Banshee,"This unfulfilled crocodile needs to bite someone in order to leave purgatory, but it's having a hard time.",,3,3,2,0,0,1,10,2
Fire Fighting Boogeyman,"He haunts your path, wandering purgatory in search of fires. He lights you aflame, and then douses you in water.",,4,86,1,0,0,1,50,1
Homeless Phantom,"He haunts your wallet, and cash disappears from it.",,1,64,4,0,0,1,27,4
Dead Cool Raisin Mascot,"Nobody remembers who he is, and he is angry from the grave. He needs money to make a comeback.",,2,63,3,0,0,1,25,0
Unidentifiable Skull,This skull baffles the most seasoned archaeologists.,,2,43,3,0,0,1,10,1
Toothpaste Spook,"You toothbrush is now haunted, and you are afraid to brush your teeth.",,1,3,4,0,0,1,31,3
Floating Demon Goat Head,A Floating Demon Goat Head draws near. Time for battle!,,4,62,1,0,0,1,37,1
Devil Tongue,It gives you twice the licking.,,3,8,2,0,0,1,44,1
Unspeakable Findings,You come across something that you cannot un-see.,,4,73,2,0,0,1,48,4
Tallish,A Tallish walks quickly and effortlessly towards you. You feel dwarfed by its size.,,4,22,1,0,0,1,33,1
Insincere Smile,The shiftiest smile you ever saw. It stays trapped in your mind and bothers you all day.,,4,53,1,0,0,0,,
Zompire,It wants to suck your blood and eat your brains.,,3,62,2,0,0,1,,
Werewolf Repoman,"By the light of a full moon, he comes to take your stuff.",,4,79,2,0,0,0,,
Charming Snake,"If you aren't on your game, it will charm you into submission.",,4,2,1,0,0,1,20,0
Towel Whipping Tentacle,Hell hath spawned the worst thing ever! OW!,,5,71,0,0,0,1,21,2
Rose Thorn,Always trying to prickle your day. Perhaps you can make the best of it.,,3,37,2,0,0,1,,
Ugly Genie,"He will gaze upon your works, and perhaps reward you with a wish.",,5,76,0,0,0,1,9,2
Amorphous Mass,This amazing discovery emerges rapidly from the local laboratory.,,0,6,0,0,0,1,5,1
Green Spider,Indigenous to irradiated areas. Watch out for its bite.,,5,24,0,0,0,1,5,0
Male Sperm,"Tiny he may be, this sperm might be more vigorous than thee.",,4,74,2,0,0,1,2,2
Male Sperm on Wheels,He is determined to prove his vigour over all other sperm.,,5,81,0,0,1,1,,
Pittsburgh,This guy is the pitts. He wants to steal your steel. Are you gonna let him burg you like that?,,4,17,4,0,0,1,17,2
Allergy Plant,You thought it was bad going out in the springtime. This plant turns your sinuses into vats of acid.,,4,28,1,0,0,1,55,1
Super Small Poisonous Bug,He's tiny and he's everywhere! He wants to exchange your nutrients for poison.,,4,75,1,0,0,1,25,1
Pituitary Gland,Puberty rears its ugly head (once again).,,4,52,1,0,0,1,,
Trans Fatty Acid,Will wreak havoc on your heart if you aren't healthy.,,4,23,1,0,0,1,14,2
Fatty Acid,Will make you heavier if you aren't in shape.,,2,23,3,0,0,1,13,2
Crystal Jerk,This guy pushes everyone around with his flashy demeanour. Time to put him in his place.,,4,42,1,0,0,1,8,3
L'ove,Are you ready for the slow and steady management of the great unconditional L'ove?,,4,89,1,0,0,0,,
Crying Dragon,Even an all-powerful creature can have a moment of weakness and guilt for all the wrong it has done.,,5,61,0,0,0,1,19,0
Tongue Slug,"It can taste everything, especially fear.",,3,39,2,0,0,1,28,4
Broken Dancer,Broken Dancer challenges you to a dance battle. You lose.,,4,16,1,0,0,0,,
Kisswalker,Kisswalker smooches you to near-suffocation.,,5,18,0,0,0,0,,
Terrible Envy,"Terrible Envy wants what you have, and takes it.",,5,86,0,0,0,0,,
Dark Card,Dark Card only gambles for high stakes.,,5,21,0,0,0,0,,
Hot Chick,"She makes you feel good psychologically, but in the end you get burned.",,4,19,1,0,0,0,,
Murder of Crows,They don't call it a murder for nothing.,,4,17,3,0,0,0,,
People Person,"People Person knows you better than yourself, and takes advantage of this fact.",,3,35,2,0,0,1,58,1
Codependent Leech,It attaches itself to your back and sucks a little more of your vigour every day.,,4,55,3,0,0,0,,
Strict Space Man,He guards what is behind him tenaciously.,,4,42,2,0,0,0,,
X-Ray Woman,"She helps you see through yourself, but at a painful cost.",,4,79,1,0,0,0,,
Popular Car With Bass,"This car takes you for a ride, at the expense of your dignity.",,3,91,2,0,0,1,57,3
Uninformed Punk,He sees you as a goody two shoes. He wants a fight.,,4,15,1,0,0,0,,
Sad Paw,Sad Paw is miserable and stomps on your life.,,4,56,1,0,0,1,57,1
Chaotic Act,This menace has no regard for the order of things.,,5,78,0,0,0,0,,
Screeching Game Changer,This horrible monster wreaks havoc on your journey.,,5,89,0,0,0,0,,
5 O'clock Shadow,It always eventually shows up.,,4,20,1,0,0,1,57,2
Glitter Guy,His flashy exterior makes him difficult to avoid.,,4,31,1,0,0,1,58,2
Nowhere Man,"Appears out of nowhere, then takes you back with him. You know not where he's going to.",,3,72,2,0,0,0,,
Reverse Ghost,Black ghosts are scarier.,,4,60,1,0,0,0,,
Murderous Tire,He is out to hurt you. He will run you over if you aren't fast enough to get away.,,4,17,1,0,0,1,58,3
Medikit,This particular Medikit is home to a mouse. Nothing in here for you but bites.,,1,21,4,0,0,1,,
Yellow Socks,"At the risk of looking unfashionable, you could add some comfort to your step.",,1,79,4,0,0,1,3,4
Strange Glasses,"Sure, you might *look* stupid, but you will feel like you're in the future.",,1,71,4,0,0,1,2,1
Bucket of Chaos,Do you dare experience what is in the bucket?,,3,87,2,0,0,1,13,4
Comically Large Red X,It stops you in your tracks.,,3,68,2,0,0,1,2,3
Sharp Orb,Why in the hell would you ever go near this thing?,,2,33,3,0,0,1,7,1
Shock Art,"You're flabbergasted by this visual depiction, and you can't look away.",,1,23,4,0,0,1,15,2
Meteorite,"This must be what they meant by ""meteoric rise.""",,0,69,1,0,0,1,19,1
Hot Can,"Inside was discontinued hot sauce, as you find out to your great chagrin a little too late.",,3,46,1,0,0,1,16,4
Mystery Can,Are you going to risk eating what is inside?,,2,4,3,0,0,1,15,4
Scroll,"Unrolled, it grants you an unexpected benefit.",,0,61,1,0,0,1,,
Disk 1,"You load it up, and... Hey, where’d you get that cheat code?!",,1,41,2,0,0,0,,
Disk 2,"This obsolete disk contains a virus so ancient, no one knows how to stop it. It's been biding its time, waiting to infect you all over again...",,2,35,3,0,0,0,,
Influential Album,This album changes the way you perceive the world.,,1,30,4,0,0,0,,
Super Ugly Sweater,Wearing this hideous thing instantly lowers your self-esteem. Everyone leaves you alone.,,3,5,2,0,0,1,40,0
Awful Shirt,Just owning this thing is bad for your reputation. You are shunned by pretty mucheveryone.,,3,36,2,0,0,1,29,3
Toy Noisemaker,You find this toy and put it in the nearest lost and found. Your good deed of the day.,,1,83,4,0,0,1,,
Participation Ribbon,"Well, no one can say you didn't try.",,1,98,4,0,0,1,19,4
Door Number Three,Let's see what is behind Door Number Three.,,2,65,3,0,0,1,,
Fun Bucks,"Hey, this isn't real, this is funny money!",,4,69,3,0,0,1,,
Noosiance,Who hung all of these nooses here? You take them down before someone gets hurt.,,0,68,0,0,0,1,11,2
Great Magnet,This latest innovation in tax collection takes loose change right out of your pockets.,,0,37,4,0,0,1,0,2
2.5 Cent Coin,This strange coin is pretty rare! Must be worth about 3.5 cents.,,0,18,4,0,0,1,18,3
Political Agenda,This expensive book is filled with political notions that you may or may not want to subscribe to.,,0,32,3,0,0,1,37,3
Poetic Justice,"According to Poetic Justice, virtue is rewarded and vice is punished.",,3,82,1,0,0,0,,
Cult Codex,"Word on the street is this book contains some wacky ideas. Come this way, I'll tell you all about it.",,4,44,1,0,0,1,,
Giant Rule Book,According to the Giant Rule Book you must do the following:,,5,43,0,0,0,1,,
Book of Answers,This expensive book ends up being ten pounds of empty platitudes. How disappointing.,,4,90,1,0,0,1,26,4
Plan B,Having a backup plan is always helpful.,,2,34,3,0,0,1,32,1
Mediocrity Subscription,Reading this stuff makes your life a little more boring.,,4,72,1,0,0,1,1,3
Bad News,"It seems to focus only on tragedy, as if designed to ruin your day.",,2,73,0,0,0,1,20,1
Boys Handbook,Great reads inspire great deeds.,,5,93,0,0,0,1,,
The Meaning of Life,"Here it is, sealed up in a nice little package. You open it and give it a read. It's about lemurs.",,4,1,1,0,0,0,,
Unlocked Diary,"Definitely none of your business. You wish you could unread it, but you can't.",,5,30,0,0,0,1,,
Alive Red Balloon Friend,He gladly floats above to guide you for a while.,,4,53,4,0,0,1,31,4
French Horn Slug,"You're starting to wonder why you got this pet. As annoying as it sounds, you should probably feed it.",,2,94,3,0,0,1,5,2
Talking Key,"This key can talk, and it turns out he's got a thing for cubes.",,4,63,1,0,0,1,7,3
Devil Bulb,"It radiates an evil heat that singes your skin,but it’s keeping the dark at bay.",,5,82,0,0,0,1,36,0
Dunce Cap,"No one can wear this cap without looking dumb, but you find it to be surprisingly useful at times.",,3,30,3,0,0,1,39,4
Bad Haircut,"This guy is nothing but trouble. It will cut your dignity down to size, if you let it.",,4,82,3,0,0,1,11,4
Sensitive Tooth,"You didn't watch what you said around him, and now he is pitching a fit.",,3,66,2,0,0,1,52,0
Gloria Hammerstein,"Meet Gloria. She judges people for a living, and you are next.",,5,11,0,0,0,1,,
Lonesome Shoe,This shoe is sad since her matching friend went missing.,,1,8,3,0,0,1,50,4
Hattitude,That's right. Attitude in a hat. You feel unassailable in this bad boy.,,2,18,3,0,0,1,1,1
Talking Cult Sneaker,He says he's got something you've really got to read.,,4,41,1,0,0,1,21,4
Sad Anchor,You feel like this chump is just dragging you down.,,4,48,1,0,0,1,54,3
Moustache Mop,It cleans up the schmutz around your mouth.,,1,44,4,0,0,1,59,1
Crystal Kite,"This shiny friend floats above, showing you reflections of what's ahead.",,3,40,2,0,0,1,1,0
Ball 1,Helps you move a little further.,,4,68,1,0,0,1,0,0
Elf Sphere,You found the elf sphere. He grants you one wish.,,4,14,1,0,0,1,,
Hell's Snowball,"It is scalding hot on the outside, and absolutely freezing on the inside.",,4,50,1,0,0,1,21,1
Yellow Snowball,EW! Gross! Don't touch that!,,2,31,3,0,0,1,22,4
Talking Bowling Ball Friend,You can find friends anywhere! This one will help you out in a fight.,,4,24,1,0,0,1,14,1
Ball of Madness,The ball of Madness brings you to a state of madness.,,5,39,0,0,0,1,17,1
Alarm Bell,"It goes off and hurts your ears, because it is so very loud.",,1,38,4,0,0,1,,
Brain Ball,Brain Ball challenges you to a thinking contest. You lose.,,2,70,4,0,0,1,14,0
Missing Breast,Picking it up and carrying it with you makes you feel great.,,3,78,2,0,0,0,,
Fortune Orb,Fortune Orb knows where you are going next.,,3,18,1,0,0,1,13,1
Upset Snow Globe,Upset Snow Globe shakes you to see how you like it.,,5,38,0,0,0,1,,
Upside Down Sphere,"Upside Down Sphere blows your mind, in a good way.",,4,57,1,0,0,1,6,2
Roboto,"Roboto is programmed to bite, and you just got in the way of his titanium teeth.",,1,27,3,0,0,0,,
Vending Machine,Grab a snack.,,1,72,4,0,0,1,,
Blingy Randomizer,Does a good job of randomizing your wallet.,,2,21,3,0,0,1,33,3
Helicopter Parent,"Will take you places, but only in a straight line.",,3,11,2,0,0,1,6,0
Emotional Dump Truck,It proceeds to dump a bunch of emotions all over you. More than you can handle.,,4,13,1,0,0,1,59,4
Spider Camera,Spider Camera has the scoop.,,0,52,4,0,0,1,25,3
Error Repeater,This machine is impossible to use. It seems designed to fail.,,4,51,1,0,0,1,,
Walking Talkie,This machine broadcasts loudly what you're up to.,,0,75,3,0,0,1,1,4
Rejected Prototype,"Alive but abandoned, it's not sure of its function.Maybe you can program one into it.",,2,46,3,0,0,0,,
Money Shredder,It’s very good at eating up your dollars and cents.,,4,33,1,0,0,1,59,0
Hard Metal Reflector Plate,There is no getting past this thing.,,3,92,1,0,0,1,52,4
Permanently Angry Mechanical Bull,"An angry juggernaut bent on attacking you, no matter what you do. You better be quick to dodge it.",,4,5,1,0,0,1,61,2
Sunday Driver,You are stuck behind this slow moving vehicle.,,3,63,2,0,0,1,6,3
Obsolete Technology Revolt,This particular technology doesn't want to work anymore. So you fix it.,,2,9,3,0,0,0,,
Pill Dispenser,Feeling lucky? Why not try a pill from the Pill Dispenser.,,2,39,3,0,0,1,,
Unfair Pinball,Getting a high score on this machine will be difficult.,,4,78,1,0,0,1,17,0
Wheel of Options,Spin the wheel to figure out where you go next.,,5,29,0,0,0,1,,
Glorious Robo-Falcon,Glorious Robo Falcon will give you a swift ride.,,5,75,0,0,0,0,,
Soulless Mechanical Owl,It has no soul. You feel like it wants some of yours.,,1,16,4,0,0,0,,
Peace Extinguisher,Chaos erupts after the peace goes out.,,5,20,0,0,0,1,15,3
Mystic Potion,"When you're done drinking this, you find the world has changed.",,0,27,1,0,0,1,,
Mind Medicine,It's like an ON switch for your mind.,,0,31,0,0,0,1,,
Brainsparkle,Clearing out any residual thoughts can make you happier.,,0,26,0,0,0,1,,
Intense Cologne,So intense that it hurts.,,0,69,4,0,0,1,30,3
Know It All,It's like a liquid library. You quaff it greedily.,,0,8,1,0,0,1,,
Ugly Bottle,Ugly Bottle means ugly effects. You shouldn't have drunk this.,,0,28,2,0,0,1,29,1
Rapid Aging,Time takes its toll on you much more quickly.,,0,48,3,0,0,1,31,1
Bottled Up Feelings,Emptying this bottle relieves you of much stress.,,0,88,1,0,0,1,30,2
Ipecac,You drink this and persistently vomit for hours.,,0,25,0,0,0,1,16,0
Snake Oil,You cannot believe you were suckered into paying for this stuff that doesn't even work.,,0,81,1,0,0,1,7,4
Wet Cement,"The opportunity presents itself, so you make your mark. Vandalism schmandalism.",,0,48,0,0,0,1,17,4
Red Town Paint,This stuff is specially formulated to help you make the most of a situation.,,0,97,3,0,0,1,12,4
Seemingly Shallow Puddle,It ends up begin much deeper than you thought. You're in over your head.,,0,91,1,0,0,1,14,4
Sticky Situation,It’ll take some effort to slide out of this one.,,0,74,0,0,0,1,53,4
Instant Shame Spray,Some people have a talent for making you feel awful.Sometimes you do it to yourself.,,0,3,1,0,0,1,4,1
Brain Wash,"Not to worry, citizen. We'll get you cleaned up in no time.",,0,91,3,0,0,1,3,3
Tear Drops,May they bring you all the sadness you desire.,,0,63,0,0,0,1,19,3
Sugar Crash,Your imbalanced diet conks you out hard.,,0,2,3,0,0,1,52,1
Not Avocado Sandwich,"You don't know what's in this sandwich you just ate, but it's definitely not what you ordered.",,0,42,0,0,0,1,8,4
All-Seeing Latte,The All-Seeing Latte suggests that you get moving.,,0,97,1,0,0,1,43,3
T Guy Steak,Are you MAN enough to take this thick cut on?,,0,87,0,0,0,1,20,3
Accurate Fortune Cookie,The accurate fortune cookie knows what's in store.,,0,19,0,0,0,1,15,1
Brown Breakfast,"It tastes like something you raked off the lawn, but it sure keeps you regular!",,0,50,4,0,0,1,,
Painscription,"You're not sure if this a mistake, or if your doctor just doesn't like you.",,0,63,4,0,0,1,,
Glass of White and Orange,Whatever that was sure had a lot of nutrients in it. ,,0,15,0,0,0,1,4,4
Regular and Diet Poison Spazzy Cola,Ugh! I never drink that Poison Spazzy Cola! Give me the other Poison Spazzy Cola.,,0,84,3,0,0,1,6,4
Swill,"Tastes like a mop bucket, but chills you right out.",,0,51,0,0,0,1,,
Tea Time,Relax. It's Tea Time.,,0,58,3,0,0,1,10,4
Second Hand Smoke,You've been told this is bad for you. It certainly looks bad.,,0,62,4,0,0,1,29,4
Blobburger,"When you asked for all the toppings, this wasn't what you had in mind.",,0,70,0,0,0,1,12,2
Super Sugar Cube,"So sweet, you'll be too giddy to notice all your molars caving in.",,0,94,1,0,0,1,12,3
Peanut Butter,Goes great with everything! Try it on steak and potatoes.,,0,59,4,0,0,1,,
Onion Donut,You used to think coffee breath was bad BEFORE people started dunking these in their mugs.,,0,72,0,0,0,1,,
Sexually Branded Beer,Each batch is lovingly brewed by a dedicated team of focus group statisticians.,,0,11,4,0,0,1,5,4
Purple Flutter Bomb,"Gracefully it drifts down, gently it explodes.",,0,81,4,0,0,1,,
3-Shooter,"If you've got half a gun, you'll just have to be twice as good a shot.",,0,4,1,0,0,1,12,1
Spikes Up,"When the spikes go up, better hope you're not going down.",,0,95,4,0,0,1,9,4
Spike Ball,You have no idea how this got in your couch cushions.,,0,65,4,0,0,1,44,4
Rocket Hammer,Great for space nails.,,0,27,0,0,0,1,11,1
P Whip,Be glad you're not Q.,,0,67,4,0,0,1,0,4
Double-Sided Red Tape,"Once you’re wrapped up in this, it takes ages to escape,and wraps everyone nearby right up with you.",,0,32,0,0,0,1,,
File 13,This file contains a list of difficult clients. ,,0,57,3,0,0,1,,
Secret Handshake,Your attempt to fit in with an exclusive crowd takes a bit of practice.,,0,85,3,0,0,1,5,3
Mooching Glove,A hand is outstretched insistently toward you.,,0,93,3,0,0,1,4,3
Ancient Python Dispenser,This office was constructed by Hammurabi himself. You haven't yet found a use for all his leftover office supplies.,,0,7,3,0,0,1,51,4
Pink Lunchbox,Your senses are invaded by an overwhelming pungency of exquisite rotting. The tears in your eyes make it hard to tell what was once in here.,,0,24,4,0,0,1,,
Guilt Trip,The guilt trip taxes your confidence and takes you on a journey you never would have wilfully undertaken. ,,0,79,3,0,0,1,,
Mysterious Briefcase,"The mystery of what is inside eats at your consciousness all day, as your imagination gets the best of you.",,0,4,4,0,0,1,,
Crystal Music Box,Its sound is exquisitely and uniquely devastating.,,0,64,3,0,0,1,,
Cube,"It's got four walls, a ceiling and a floor. What else do you want?",,0,65,0,0,0,1,0,3
Sack of Food,It never hurts to be prepared.,,1,1,3,0,0,1,,
Poppycock,Nonsense!,,1,84,4,0,0,0,,
Claptrap,Utter madness!,,1,85,4,0,0,0,,
Codswallop,Horse feathers!,,1,86,4,0,0,0,,
Blather,Absolute rubbish!,,1,87,4,0,0,0,,
Baloney,Total gibberish!,,1,88,4,0,0,0,,
Crapola,Patently absurd!,,1,89,4,0,0,0,,
Load of Crock,Ludicrous!,,1,90,4,0,0,0,,
Hogwash,Ridiculous!,,1,91,4,0,0,0,,
Fiddlesticks,What a load of garbage!,,1,92,4,0,0,0,,
Flim Flam,Bananas!,,1,93,4,0,0,0,,
Impending Doom,"It's just a feeling, but you are certain everything is going to go wrong.",,0,57,0,0,0,0,,
Vulnerable Feeling,The slightest challenge seems insurmountable.,,0,49,0,0,0,1,,
Rock Bottom,You can only go up from here.,,0,12,4,0,0,1,49,4
Overwhelming Feeling,"An event touches you so deeply that you are staggered, unable to think of anything else.",,0,80,0,0,0,0,,
Depressive Haze,Basic tasks and social interactions... they're too much for your weary mind to handle today.,,0,84,0,0,0,1,47,0
Glitter Cloud,"Upon breathing this in, you feel some strange effects.",,0,3,0,0,0,0,,
Altruism,You reflect on what you have accomplished for the good of others.,,0,27,4,0,0,1,,
Near Death Experience,"You return to the living world, and take a fresh look at everything you see.",,0,36,3,0,0,1,9,3
Clown Avalanche,The world is full of laughter and fear. Sometimes you can't tell the difference.,,0,92,0,0,0,1,56,1
Green Vortex,"Today you're stuck in bed, with a sickness so palpable you can see it.",,0,73,3,0,0,1,46,2
The Power of Music,Formidable indeed.,,0,9,1,0,0,1,,
Arrow Swarm,"You shrug, and follow the crowd.",,0,73,1,0,0,1,60,0
